35.133333	36.600000	Laughter
52.866667	56.600000	Laughter
61.933333	65.900000	Laughter
72.133333	73.566667	Laughter
123.733333	125.133333	Laughter
131.366667	132.400000	Laughter
138.333333	139.933333	Laughter
153.833333	157.066667	Laughter
176.233333	178.033333	Laughter
179.166667	180.900000	Laughter
207.700000	210.600000	Laughter
212.766667	213.833333	Laughter
234.900000	235.966667	Laughter
245.400000	249.933333	Laughter
260.633333	263.766667	Laughter
265.166667	266.833333	Laughter
280.700000	281.933333	Laughter
283.533333	288.133333	Laughter
289.466667	293.800000	Laughter
319.333333	322.233333	Laughter
325.100000	327.033333	Laughter
328.500000	331.033333	Laughter
361.533333	362.566667	Laughter
