23.533333	27.433333	Laughter
28.500000	31.133333	Laughter
43.233333	46.466667	Laughter
50.866667	52.200000	Laughter
55.666667	68.766667	Laughter
70.533333	72.900000	Laughter
74.000000	75.900000	Laughter
79.200000	80.500000	Laughter
83.933333	89.800000	Laughter
125.200000	126.533333	Laughter
129.933333	132.566667	Laughter
139.166667	142.800000	Laughter
145.800000	148.433333	Laughter
150.966667	160.666667	Laughter
164.666667	166.666667	Laughter
169.233333	170.500000	Laughter
184.333333	194.333333	Laughter
195.633333	200.600000	Laughter
203.100000	205.166667	Laughter
215.266667	216.400000	Laughter
