50.200000	50.200000	Laughter
50.333333	50.366667	Laughter
50.433333	50.533333	Laughter
50.666667	50.700000	Laughter
50.800000	50.833333	Laughter
51.133333	51.166667	Laughter
51.266667	51.266667	Laughter
64.400000	64.400000	Laughter
91.566667	91.700000	Laughter
91.766667	91.800000	Laughter
91.900000	91.933333	Laughter
92.300000	92.300000	Laughter
92.466667	92.466667	Laughter
119.566667	119.566667	Laughter
119.633333	119.633333	Laughter
193.100000	193.100000	Laughter
193.166667	193.166667	Laughter
193.233333	193.233333	Laughter
